Beer,Rating,Review_Count,Style_1,Brewery,ABV%,IBU,Description
MacLenny's Scottish Ale,3.5789473684210527,20,Scottish Ale,Smokehouse Brewing Company,6.6,14,"You want to do WHAT? When we first brewed this beer we didn't know what would happen when we turned our brew kettle on while it was empty, in order to scorch the malt. We liked the results so much that Scottish has been on tap ever since. Show Less"
Shoo-Wee Randy,3.5782051282051284,40,Shandy / Radler,Derive Brewing Company,0.0,0,Raspberry Lemonade Shandy made in collaboration with Brewfontaine and Brewfontaine at the Hills and the Syndicate. Show Less
Nikola,3.578125,18,Lager,Edison Brewing Company,5.3,0,
IPA ASAP,3.576388888888889,39,IPA,Saucy Brew Works,6.3,66,"Crisp, dry and citrusy with a lingering bitterness."
Two T's Shandy,3.5760869565217392,23,Shandy / Radler,Crooked Can Ohio,4.8,12,Crisp Kolsch infused with subtle lemony sweetness.
Livin' And Lovin',3.5737499999999995,40,IPA,Wolf's Ridge Brewing,6.5,45,Cold IPA brewed with Nocterra brewing
Amazing Haze,3.5714285714285716,22,IPA,Goodwood Brewing,6.2,40,"Hazy IPA- Loads of flaked oats and wheat lend a full-bodied, chewy mouthfeel. Scoops and scoops and scoops of Amarillo and Centennial hops make a delicious piney, resinous orange-grapefruit-apricot alcoholic juice drink! Show Less"
Free Town 3.0,3.5714285714285716,17,Lager,Forbidden Root Brewing Company,5.8,0,"For the third batch of Freetown, we're featuring more full bodied malts and Mt. Hood hops, cold conditioned for 6 months. Still easy drinking, crisp, and delicious Show Less"
Orange Creamsicle Ache Sour,3.56875,16,Sour,Heart State Brewing,5.5,0,"Sometimes Belgian influenced, American Wild Ales are beers that are introduced to “wild” yeast or bacteria, such as: Brettanomyces, Pediococcus or Lactobacillus. Show Less"
ISO: Chuck Biscuits Ft: Nelson Sauvin,3.567241379310345,31,Sour,Hoof Hearted Brewing,4.5,0,"Sea Salt, Coriander, Sauvignon Blanc Juice"
Dub Jam - Tropical,3.566216216216216,41,Sour,Saucy Brew Works,8.0,0,"Sour ale brewed with passionfruit, peach, and pineapple and soured with the yeast Lachancea Thermotolerans. Show Less"
O'Jerry's Irish Red,3.5647058823529414,20,Red Ale,Goodwood Brewing,4.8,21,Irish-style red ale is a balanced beer with caramel maltiness. A touch of Roasted Barley lends low roasted notes. The beer is very drinkable and ends with a crisp and dry finish. Show Less
Cover Crop,3.5625,66,Golden Ale,North High Brewing,4.5,0,"Cover Crop is a light-bodied, easy drinking golden ale that is crisp, refreshing and perfect for relaxing after a day of hard work in the office, factory or farm. The name Cover Crop honors the revival of a farming practice that sustains the land and its surrounding environment. Show Less"
(614) Lager,3.559322033898305,65,Lager,Wolf's Ridge Brewing,4.2,10,"#614beerstory

Midwest Light Lager, only 110 calories. Brewed to be clean and crisp but with more flavor and allure than a macro lager. very lightly dry hopped with Huell Melon hops to add a subtle melon/citrus note to the aroma. Show Less"
Sweet,3.5566666666666666,17,Stout,Heart State Brewing,6.5,0,Dark like an artic night but still easy & quaffable like a summer breeze.
Livin’ the Dream,3.553125,20,Pilsner,Derive Brewing Company,4.2,15,"Livin’ The Dream is a 4.2% ABV Czech Pilsner brewed with only four ingredients!  Pilsner malt, Czech Saaz hops, water and an expressive lager yeast come together in perfect harmony to create an old world classic.  This crispy little beer was lagered for eight weeks to achieve the cleanliness one looks for in a delicious and highly drinkable pilsner. Show Less"
Unable To Fear,3.5444444444444447,27,IPA,Derive Brewing Company,6.4,0,A rich and robust Black IPA/Cascadian Dark Ale brewed with a complex array of roasted malts. Hopped in the kettle with Chinook and dry hopped with Mackinac hops from Michigan. 6.4% ABV. Show Less
Grapefruit Wheat,3.5434782608695654,24,Wheat Beer,Parsons North Brewing Company,6.2,21,"Zesty, Mellow, and Clean. A Carefree American Wheat Ale with a hint of grapefruit. Show Less"
Goodwood IPA,3.5419540229885054,99,IPA,Goodwood Brewing,6.5,67,"Bold hop flavor and aroma from five different hop varietals is front and center in this flavorful India Pale Ale. Aromas ranging from citrus to pine to stone fruit are generated from synergistic hop additions in both the kettle and the fermenter.
Show Less"
FESTBIER,3.5416666666666665,35,Festbier,Saucy Brew Works,6.0,0,"Deep golden color, malt flavors of biscuit, breadcrust and toffee, orange in the mid palate, finishes crisp with a light malt backbone and a classic noble hop bitterness. Show Less"
El Lager,3.5390151515151516,139,Lager,Saucy Brew Works,4.3,0,"Light straw in color, with a tight white head. Soft floral and lemony hop character, with a balanced grain, corn and citrus finish. Perfectly clean and thirst quenching! Show Less"
Dub Jam,3.5366666666666666,34,Sour,Saucy Brew Works,8.0,0,"Lachancea Tart Imperial Smoothie - sour ale brewed with double raspberry and soured with the yeast Lachancea Thermotolerans.


Lachancea Tart is a new style of beer born in Cleveland, Ohio. The method of production for these beers is wholly different than other sours, as we employ our friendly lactic acid-producing yeast, Lachancea thermotolerans to sour the beer instead of lactic acid bacteria. Show Less"
Snake In the Grass,3.536,53,Farmhouse Ale,Taft's Brewing Company,8.5,20,Saison brewed with fresh lemongrass and locally grown basil. Brewed in collaboration with Rob and Roxanne Westendorf. Show Less
Honey Wheat Lager,3.5346456692913386,135,Lager,North High Brewing,5.6,17,
Brewtus Blonde,3.533333333333333,15,Blonde Ale,Goodwood Brewing,4.9,23,Classic beer with slight bread smell with a crisp and clean body with a low abv. This is your drink all day beer. Show Less
Nordecke,3.5272727272727273,40,Cream Ale,Endeavor Brewing Co,4.8,0,Tasty lager to celebrate the Columbus Crew's home opener.
Gunpowder IPA,3.5267857142857144,32,IPA,Temperance Row Brewing Co.,6.25,0,This is a hop forward IPA with tropical fruit and floral aromas that lead to citrus and honeydew flavors while maintaining overall balance. Show Less
The Quest,3.5185714285714287,39,Belgian Enkel / Patersbier,Derive Brewing Company,5.2,0,Our new Belgian Single brewed with spelt and hopped with German Grüngeist.
SHE DEVIL,3.514705882352941,20,Red Ale,Holy Trinity Brewing Co,4.8,26,"Jesus loved the ladies, just ask Mary Magdalene (woo hoo). He also loves our flagship Irish Red with a smooth, malty finish that will have you begging for more and more reds. Show Less"
Barley’s 13th Guest,3.51,16,Brown Ale,Barley's Brewing Company (Brew Pub),5.7,0,Homebrew contest winner Jim Suddeth’s major award winning beer.
Icelandic Saga,3.50625,28,Wheat Beer,Endeavor Brewing Co,4.7,0,Icelandic-style Ale. This brew is made with some wheat and features notes of Sage and Icelandic Anise Star. Show Less
Two To Tang-Go,3.5,24,Fruit Beer,Sideswipe Brewing,5.2,0,Tangerine Ale
124 Conch Street,3.5,17,IPA,Spires Social Brewing Co.,5.5,0,
Rubí Grapefruit IPA,3.4976415094339623,121,IPA,Land-Grant Brewing Company,6.3,43,IPA with grapefruit and lime juices
OLD MCJESUS HAD A FARM,3.487931034482759,30,Farmhouse Ale,Holy Trinity Brewing Co,7.1,22,"When Jesus had a farm, he kept his farm hands happy with generous servings of this Belgian Farmhouse ale…E-I-E-I-O. This Saison uses Huell Melon hops to bring out characteristics of melon and strawberry and has added lemon peel to remind you of warm summer days. Show Less"
Patent,3.486842105263158,21,Pilsner,Edison Brewing Company,4.8,0,"A Pils that is light, crisp and sparkling with flavor and aroma of German and Slovenian noble hops. Smooth, dry finish. Show Less"
Pilsner,3.4863636363636363,25,Pilsner,Barley's Brewing Company (Brew Pub),4.8,15,"A great introduction to craft brewed beer, since there is enough malt and hop flavor in our Pilsner to keep even the most sophisticated beer drinkers coming back for more. Show Less"
Sparkling Rosé Ale,3.4770270270270274,40,Bière de Champagne / Bière Brut,Forbidden Root Brewing Company,10.0,0,This finely bubbled ale brewed with Niagara Grapes and a hint of hibiscus beautifully walks the line between beer and wine. Show Less
Astro Nuggs Hazy Guava IPA,3.46875,19,IPA,2 Tones Brewing Company,6.5,0,Hazy IPA with guava puree.
Batches Be Crazy,3.46875,18,IPA,Spires Social Brewing Co.,6.2,0,
Hazy IPA,3.468,27,IPA,Goodwood Brewing,7.0,30,Luscious ripe tropical fruit carries your senses on a radical journey. Full body finishes dry and hoppy with notes of bitter mango. Enjoy this beer on your next fantastic voyage to the land of whimsical haze. Show Less
Shandy Land,3.4641666666666664,63,Shandy / Radler,Heart State Brewing,4.8,0,"A shandy style ale with lemon. Light, crisp and sweet."
Citra® Noel,3.453333333333333,15,Strong Ale,Columbus Brewing Company,7.3,34,Welcome to a new holiday tradition. Our mahogany colored ale features tropical fruit notes from Citra hops and has a deep rich malt character. Show Less
Double Walnut Sweet,3.4466666666666668,16,Stout,Heart State Brewing,11.5,0,Imperial Stout with vanilla and Walnut
Prohibition Pilsner,3.44,26,Pilsner,Temperance Row Brewing Co.,5.0,0,Bavarian style pilsner brewed with German and Czech hops.
Ez Peezy,3.4339285714285714,29,IPA,Somewhere In Particular Brewing,4.2,0,Easy drinking session IPA sitting at 4.2% brewed with Cryo Citra and Cryo Mosaic hops. Show Less
Fatty Gold,3.4225490196078434,55,Lager,Saucy Brew Works,5.5,0,A bright and snappy lager with a pleasant crackery malt nose that finishes with a citrusy and almost Noble hop nose despite the American Hops Show Less
Beach Blender,3.3905797101449275,73,Fruit Beer,Wolf's Ridge Brewing,6.0,0,Fruity peach mango ale
Abercorn Road Streaking Society,3.375,68,Bitter,Hoof Hearted Brewing,3.5,0,
Cori Anna,3.3676470588235294,18,Sour,Edison Brewing Company,4.8,0,
Louisville Lager,3.364795918367347,107,Lager,Goodwood Brewing,4.2,35,"In a tip of the cap to our Slugger-making neighbors downtown, white ash – common in baseball bats – is used to enhance brewing. This results in a light-bodied, perfectly balanced lager with a sweet finish delivered by those Kentucky grains.
Show Less"
President's Pils,3.344186046511628,47,Pilsner,Ohio Brewing Company - Columbus,5.2,25,"PILSNER – Rich, characterful, pale Czech-style lager. Complex yet well-balanced and refreshing. The bitterness is clean and without harshness, which gives a rounded drinkability. Show Less"
Pineapple Coconut Cream Ale,3.34375,17,Cream Ale,Land-Grant Brewing Company,5.0,0,Light and easy Cream Ale with a touch of coconut and vanilla
Basic Batch,3.335483870967742,31,Golden Ale,Forbidden Root Brewing Company,5.0,0,A crisp and clean golden ale!
Lulet,3.3194444444444446,36,Wheat Beer,Ohio Brewing Company - Columbus,5.0,15,"WITBIER – A Belgian-style Witbier brewed with orange peel, coriander and lavender."
Bowsie,3.312962962962963,29,Stout,Ohio Brewing Company - Columbus,4.2,20,"NITRO IRISH STOUT – An Irish Classic, creamy with hints of chocolate and coffee and a smooth dry finish. Show Less"
ÜBER ASAP,3.3035714285714284,16,IPA,Saucy Brew Works,7.0,0,Bright American hops carefully blended with Madagascar Vanilla and an insane amount of juicy fruit purée. Show Less
Kitty Paw Pineapple Tangerine,3.29,16,Hard Seltzer,Seventh Son Brewing Company,4.2,0,Hard Seltzer with Pineapple and Tangerines
Cerveza de Mercado,3.2086956521739127,24,Blonde Ale,Barley's Brewing Company (Brew Pub),4.8,15,Collaboration with Market Bar Bridge Park. Margarita Inspired. Mexican Style Salty Lime Blonde Ale with fresh lime zest and sea salt. 4.8% ABV. Show Less
Shifty Fellow,3.1875,39,Farmhouse Ale,Forbidden Root Brewing Company,7.0,0,"Saison Ale with Toasted Buckwheat, Cucumber, & Shiso"
Sting Like A Beer,3.1323529411764706,19,Honey Beer,Goodwood Brewing,8.7,0,Bourbon barrel aged
Mr. Stacks,3.125,31,Porter,Land-Grant Brewing Company,5.8,0,"Go ahead and order a stack of pancakes for the table, and enjoy alongside this deliciously rich Maple Blueberry Porter. Brewed with fresh blueberry and maple extract. Show Less"
Turbowater,3.1153846153846154,15,Hard Seltzer,Hoof Hearted Brewing,5.5,0,"Collaboration w/ Evil Water,
Brown sugar roasted pineapple"
BIG HEYZEUS,3.111111111111111,30,IPA,Holy Trinity Brewing Co,9.1,55,"The oldest of the three brothers, this is the BIG Hazy Jesus. Like the other brothers this New England style IPA brings in a ton of citrus flavors and aroma from whirlpool and dry hopping but adds a zest of bitterness and ups the ABV. Drink up this edition because we won't see it again for a while and give thanks and enjoy your communion. Show Less"
"Turbowater (Orange, Tang, Vanilla )",3.0166666666666666,19,Hard Seltzer,Hoof Hearted Brewing,5.5,0,"Seltzer with orange, tang, and vanilla"
